Links: Issues with internal backlinks, internal links and external links, their anchors, HTTP status codes and rel attributes.

Orphan URLs - only found via sitemap
Category: Links
These are URLs not discoverable through internal linking and have a status code other than 404. They're detectable only via the sitemap, and 'float' within a domain's set of URLs, evading web crawlers and standard Google bot indexing.
https://blog.evolvedlotus.com/404/ | Score: 3.53 | Status: 200 | Last Crawled: 14 Oct
https://blog.evolvedlotus.com/admin/ | Score: 3.53 | Status: 200 | Last Crawled: 14 Oct
https://blog.evolvedlotus.com/blog/2024-09-27-evolved-insights-“tiny-twitter-niche”/ | Score: 3.12 | Status: 200 | Last Crawled: 14 Oct
https://blog.evolvedlotus.com/notifications/welcome-notification/ | Score: 3.12 | Status: 200 | Last Crawled: 14 Oct
https://blog.evolvedlotus.com/notifications/2025-05-22-twitter-x-reply-bot/ | Score: 3.12 | Status: 200 | Last Crawled: 14 Oct


Has only one followed internal linking URL
Category: Links
The URL has only one followed incoming link from one other URL on the website. The amount of internal backlinks and their anchors have impact on page rankings. More internal backlinks means higher rankings, so it is better to add more links from other internal pages to pages listed in this filter.
https://blog.evolvedlotus.com/blog | Score: 6.88 | Issue Found: 14 Oct | Indexable: true
https://blog.evolvedlotus.com/x-tiktok | Score: 2.52 | Issue Found: 14 Oct | Indexable: true
https://blog.evolvedlotus.com/x-link | Score: 2.52 | Issue Found: 14 Oct | Indexable: true
https://blog.evolvedlotus.com/x-twitch | Score: 2.52 | Issue Found: 14 Oct | Indexable: true
https://blog.evolvedlotus.com/x-yt | Score: 2.52 | Issue Found: 14 Oct | Indexable: true
https://blog.evolvedlotus.com/x-fb | Score: 2.52 | Issue Found: 14 Oct | Indexable: true
https://blog.evolvedlotus.com/x-twitter | Score: 2.52 | Issue Found: 14 Oct | Indexable: true
https://blog.evolvedlotus.com/x-ig | Score: 2.52 | Issue Found: 14 Oct | Indexable: true
https://blog.evolvedlotus.com/x-misc | Score: 2.52 | Issue Found: 14 Oct | Indexable: true
https://blog.evolvedlotus.com/x-kick | Score: 2.52 | Issue Found: 14 Oct | Indexable: true
https://blog.evolvedlotus.com/blog/2024-07-31-facebook-ugc-creator-lotus-takes/www.canva.com | Score: 2.43 | Issue Found: 14 Oct | Indexable: true
https://blog.evolvedlotus.com/blog/2023-12-26-from-sound-waves-to-screens-the-intro-to-podcast/linktr.ee/evlextra | Score: 2.43 | Issue Found: 14 Oct | Indexable: true
https://blog.evolvedlotus.com/blog/2024-03-28-twitter-𝕏-updates-new-user-experience-and-battling-bots/ | Score: 2.29 | Issue Found: 14 Oct | Indexable: true


Page has internal links to 3xx pages
Category: Links
The URL has at least one outgoing internal link to redirected page. 3xx status code (301, 302, etc.) stand for redirection. 
https://blog.evolvedlotus.com/ | Score: 79.77 | Status: 200 | Issue Found: 14 Oct | Indexable: true
https://blog.evolvedlotus.com/blog/ | Score: 12.39 | Status: 200 | Issue Found: 14 Oct | Indexable: true
https://blog.evolvedlotus.com/blog/2025-08-29-batch-content-creation-techniques-that-save-hours/ | Score: 2.85 | Status: 200 | Issue Found: 14 Oct | Indexable: true


Page has no outgoing links
Category: Links
If a page has no outgoing links, it is a "dead end" for both website visitors and search engine crawlers.
https://blog.evolvedlotus.com/admin/ | Score: 3.53 | Status: 200 | Issue Found: 14 Oct | Internal Links Count: 0


Page has outbound internal links with one word anchor
Category: Links
Page has one or more outgoing links to internal pages with one word anchor text. Using more descriptive anchor text you can help Google to understand the context of the pages you link to and start ranking by more keywords.
https://blog.evolvedlotus.com/contact/ | Score: 100 | Status: 200 | Issue Found: 14 Oct | Indexable: true
https://blog.evolvedlotus.com/privacy-policy/ | Score: 86.36 | Status: 200 | Issue Found: 14 Oct | Indexable: true
https://blog.evolvedlotus.com/terms-of-service/ | Score: 86.36 | Status: 200 | Issue Found: 14 Oct | Indexable: true
https://blog.evolvedlotus.com/about/ | Score: 83.5 | Status: 200 | Issue Found: 14 Oct | Indexable: true
https://blog.evolvedlotus.com/ | Score: 79.77 | Status: 200 | Issue Found: 14 Oct | Indexable: true
https://blog.evolvedlotus.com/blog/ | Score: 12.39 | Status: 200 | Issue Found: 14 Oct | Indexable: true
https://blog.evolvedlotus.com/blog/2025-10-13-turning-your-content-into-multiple-revenue-streams/ | Score: 10.34 | Status: 200 | Issue Found: 14 Oct | Indexable: true
https://blog.evolvedlotus.com/blog/2025-08-11-how-to-create-30-days-of-content-in-one-weekend/ | Score: 6.53 | Status: 200 | Issue Found: 14 Oct | Indexable: true
https://blog.evolvedlotus.com/blog/2025-01-29-how-to-write-a-viral-caption-for-social-media/ | Score: 6.53 | Status: 200 | Issue Found: 14 Oct | Indexable: true
https://blog.evolvedlotus.com/blog/2023-11-20-boost-tiktok-visuals-top-online-resources/ | Score: 5.67 | Status: 200 | Issue Found: 14 Oct | Indexable: true
https://blog.evolvedlotus.com/blog/2025-09-09-best-video-recording-software-2025-free-paid-tools-compared/ | Score: 5.65 | Status: 200 | Issue Found: 14 Oct | Indexable: true
https://blog.evolvedlotus.com/x-kick/ | Score: 5.6 | Status: 200 | Issue Found: 14 Oct | Indexable: true
https://blog.evolvedlotus.com/blog/2025-08-13-top-free-design-tools-every-creator-needs/ | Score: 5.31 | Status: 200 | Issue Found: 14 Oct | Indexable: true
https://blog.evolvedlotus.com/x-link/ | Score: 5.23 | Status: 200 | Issue Found: 14 Oct | Indexable: true
https://blog.evolvedlotus.com/x-fb/ | Score: 5.19 | Status: 200 | Issue Found: 14 Oct | Indexable: true
